step cell x y activation replay
1 232 1000.74193548 236.806451613 0.895622553264 False
1 263 983.741935484 289.064516129 0.972484294964 False
1 294 988.741935484 290.322580645 0.976296500997 False
2 263 983.741935484 289.064516129 0.791891118381 False
2 294 988.741935484 290.322580645 0.817188990587 False
2 295 1046.25806452 312.322580645 0.993821875315 False
2 326 1083.25806452 326.580645161 0.948487555182 False
2 327 1115.77419355 324.580645161 0.821703870411 False
2 356 1025.74193548 355.838709677 0.919635147111 False
2 357 1036.25806452 377.838709677 0.852940188839 False
3 325 978.741935484 324.580645161 0.784700178403 False
3 356 1025.74193548 355.838709677 0.963537637836 False
3 357 1036.25806452 377.838709677 0.939972311967 False
3 387 991.741935484 395.096774194 0.889487776566 False
3 418 971.741935484 423.35483871 0.846349466637 False
4 356 1025.74193548 355.838709677 0.819101501253 False
4 357 1036.25806452 377.838709677 0.921968028597 False
4 419 1093.25806452 449.35483871 0.880343188592 False
4 450 1043.25806452 481.612903226 0.836268486493 False
5 419 1093.25806452 449.35483871 0.857968034561 False
5 449 1009.74193548 463.612903226 0.802559450307 False
5 450 1043.25806452 481.612903226 0.996173648278 False
5 481 1072.25806452 507.870967742 0.869688055686 False
5 512 1059.25806452 521.129032258 0.949733269617 False
5 543 1084.25806452 549.387096774 0.803715986211 False
6 450 1043.25806452 481.612903226 0.79897325097 False
6 480 975.741935484 513.870967742 0.94932141881 False
6 510 964.225806452 543.129032258 0.87755086304 False
6 511 968.741935484 521.129032258 0.945482177675 False
6 512 1059.25806452 521.129032258 0.844760152934 False
6 542 993.741935484 552.387096774 0.962225287435 False
7 512 1059.25806452 521.129032258 0.818778111471 False
7 543 1084.25806452 549.387096774 0.888501363179 False
7 573 1026.74193548 594.64516129 0.914924412143 False
7 574 1055.25806452 601.64516129 0.976908060483 False
8 604 1030.74193548 639.903225806 0.936039830199 False
8 635 1017.74193548 650.161290323 0.847087824742 False
8 636 1077.25806452 663.161290323 0.882104874118 False
8 666 1021.74193548 694.419354839 0.807805375962 False
9 666 1021.74193548 694.419354839 0.938886821479 False
9 697 997.741935484 716.677419355 0.984643385153 False
10 728 1020.74193548 752.935483871 0.904059609785 False
10 759 1007.74193548 776.193548387 0.990581552759 False
10 790 1017.74193548 818.451612903 0.815929858193 False
11 790 1017.74193548 818.451612903 0.898264548077 False
11 791 1091.25806452 817.451612903 0.922070716545 False
11 822 1079.25806452 844.709677419 0.826709899627 False
11 823 1110.77419355 864.709677419 0.793081220498 False
12 698 1054.25806452 728.677419355 0.92350636509 False
12 728 1020.74193548 752.935483871 0.919480805499 False
12 729 1074.25806452 763.935483871 0.935322731462 False
12 760 1076.25806452 779.193548387 0.824903477581 False
12 791 1091.25806452 817.451612903 0.784491098662 False
13 727 939.225806452 750.935483871 0.84767542635 False
13 728 1020.74193548 752.935483871 0.842510999293 False
13 759 1007.74193548 776.193548387 0.830807998548 False
14 758 944.225806452 802.193548387 0.978562202305 False
14 789 916.225806452 824.451612903 0.976679064047 False
14 819 895.709677419 840.709677419 0.899544947796 False
15 665 926.225806452 692.419354839 0.825987474294 False
15 696 916.225806452 712.677419355 0.891821799478 False
15 727 939.225806452 750.935483871 0.969593074763 False
16 758 944.225806452 802.193548387 0.858685586145 False
16 759 1007.74193548 776.193548387 0.870998372435 False
16 789 916.225806452 824.451612903 0.782363588569 False
17 758 944.225806452 802.193548387 0.880119087414 False
17 789 916.225806452 824.451612903 0.986734779798 False
17 819 895.709677419 840.709677419 0.947696765393 False
17 820 962.225806452 851.709677419 0.813812666716 False
17 851 906.225806452 896.967741935 0.822072747201 False
18 819 895.709677419 840.709677419 0.789927222763 False
18 851 906.225806452 896.967741935 0.97241756455 False
18 881 891.709677419 923.225806452 0.835332860645 False
18 882 905.225806452 934.225806452 0.93678075815 False
19 819 895.709677419 840.709677419 0.786446775433 False
19 849 814.193548387 901.967741935 0.809994915269 False
19 851 906.225806452 896.967741935 0.906812626708 False
