step cell x y activation replay
1 200 949.225806452 220.548387097 0.799902198169 False
1 232 1001.74193548 255.806451613 0.968553320452 False
1 263 994.741935484 268.064516129 0.996865588529 False
1 325 1013.74193548 332.580645161 0.833224343729 False
2 264 1068.25806452 275.064516129 0.79245088202 False
2 294 1016.74193548 319.322580645 0.845650297278 False
2 295 1046.25806452 301.322580645 0.96649219572 False
2 325 1013.74193548 332.580645161 0.937603705419 False
2 326 1087.25806452 329.580645161 0.858341493898 False
2 356 1006.74193548 378.838709677 0.788398249069 False
2 357 1072.25806452 356.838709677 0.918515865363 False
3 325 1013.74193548 332.580645161 0.818076609734 False
3 356 1006.74193548 378.838709677 0.917323258613 False
3 357 1072.25806452 356.838709677 0.931994452149 False
3 387 1005.74193548 399.096774194 0.914675071939 False
3 388 1037.25806452 397.096774194 0.968090135982 False
3 389 1105.77419355 402.096774194 0.862591678744 False
3 450 1043.25806452 452.612903226 0.836292183754 False
4 356 1006.74193548 378.838709677 0.849714789604 False
4 386 965.225806452 390.096774194 0.852133333334 False
4 387 1005.74193548 399.096774194 0.930330989407 False
4 417 963.225806452 448.35483871 0.798522601967 False
4 418 977.741935484 429.35483871 0.974189895509 False
4 449 972.741935484 460.612903226 0.886004011243 False
4 450 1043.25806452 452.612903226 0.912644106942 False
5 450 1043.25806452 452.612903226 0.94275829457 False
5 481 1059.25806452 513.870967742 0.890901140099 False
5 511 1024.74193548 535.129032258 0.883465829482 False
5 512 1056.25806452 542.129032258 0.878189438408 False
6 480 982.741935484 510.870967742 0.901831376066 False
6 511 1024.74193548 535.129032258 0.972805592378 False
6 512 1056.25806452 542.129032258 0.868118748508 False
6 573 1000.74193548 583.64516129 0.811804812224 False
7 541 935.225806452 548.387096774 0.838432688298 False
7 572 960.225806452 609.64516129 0.912574183423 False
8 603 938.225806452 643.903225806 0.967031035679 False
8 633 885.709677419 664.161290323 0.828148814093 False
8 634 943.225806452 664.161290323 0.990298188765 False
8 635 1004.74193548 646.161290323 0.872447274941 False
8 665 922.225806452 690.419354839 0.919672864096 False
9 665 922.225806452 690.419354839 0.907914628914 False
9 695 899.709677419 716.677419355 0.887047827178 False
9 696 964.225806452 726.677419355 0.970902892376 False
9 697 975.741935484 729.677419355 0.971877494678 False
9 727 921.225806452 762.935483871 0.809474926632 False
9 728 1006.74193548 748.935483871 0.851277213427 False
9 758 960.225806452 798.193548387 0.797402431741 False
10 697 975.741935484 729.677419355 0.792410001852 False
10 727 921.225806452 762.935483871 0.814569167898 False
10 728 1006.74193548 748.935483871 0.782438212363 False
10 757 881.709677419 778.193548387 0.797019691394 False
10 758 960.225806452 798.193548387 0.995784869633 False
10 789 938.225806452 837.451612903 0.83963682956 False
11 758 960.225806452 798.193548387 0.83852192422 False
11 821 1004.74193548 853.709677419 0.996995222008 False
11 822 1033.25806452 839.709677419 0.949791958425 False
11 852 1001.74193548 901.967741935 0.874156649245 False
12 758 960.225806452 798.193548387 0.863804803205 False
12 789 938.225806452 837.451612903 0.984270376796 False
12 820 915.225806452 851.709677419 0.97622705558 False
12 851 919.225806452 901.967741935 0.869775555565 False
12 881 898.709677419 904.225806452 0.82767203724 False
13 851 919.225806452 901.967741935 0.984932590071 False
13 852 1001.74193548 901.967741935 0.787592725774 False
13 881 898.709677419 904.225806452 0.950516167203 False
13 882 963.225806452 930.225806452 0.879916977908 False
13 883 976.741935484 917.225806452 0.803734201693 False
13 914 980.741935484 961.483870968 0.816735229239 False
14 821 1004.74193548 853.709677419 0.836152976212 False
14 852 1001.74193548 901.967741935 0.989893734262 False
14 853 1033.25806452 889.967741935 0.832266740419 False
14 882 963.225806452 930.225806452 0.858330179503 False
14 883 976.741935484 917.225806452 0.947337782397 False
14 884 1053.25806452 934.225806452 0.869989344849 False
14 914 980.741935484 961.483870968 0.900783361404 False
15 851 919.225806452 901.967741935 0.984932590071 False
15 852 1001.74193548 901.967741935 0.787592725774 False
15 881 898.709677419 904.225806452 0.950516167203 False
15 882 963.225806452 930.225806452 0.879916977908 False
15 883 976.741935484 917.225806452 0.803734201693 False
15 914 980.741935484 961.483870968 0.816735229239 False
16 881 898.709677419 904.225806452 0.829448373424 False
16 912 887.709677419 957.483870968 0.979446173325 False
16 913 907.225806452 966.483870968 0.894416794351 False
16 943 889.709677419 975.741935484 0.973709268625 False
17 850 858.709677419 889.967741935 0.949578764692 False
17 851 919.225806452 901.967741935 0.934277816721 False
17 881 898.709677419 904.225806452 0.982752168747 False
18 880 815.193548387 929.225806452 0.948313645449 False
18 911 810.193548387 941.483870968 0.955678998367 False
19 817 769.677419355 864.709677419 0.950196164653 False
19 848 712.677419355 872.967741935 0.790464534858 False
19 849 810.193548387 878.967741935 0.893182317793 False
19 879 746.677419355 932.225806452 0.779522564627 False
19 880 815.193548387 929.225806452 0.801966817882 False
20 847 697.161290323 897.967741935 0.855194339856 False
20 878 699.161290323 929.225806452 0.872865274724 False
20 879 746.677419355 932.225806452 0.960376149502 False
20 910 751.677419355 964.483870968 0.929674816465 False
20 941 745.677419355 987.741935484 0.917762604586 False
20 972 718.677419355 1006.0 0.84534687954 False
21 816 688.161290323 853.709677419 0.9206004287 False
21 847 697.161290323 897.967741935 0.990411165802 False
21 848 712.677419355 872.967741935 0.937052877089 False
21 878 699.161290323 929.225806452 0.873775874499 False
21 909 651.161290323 955.483870968 0.820038528058 False
22 753 619.64516129 804.193548387 0.817924538389 False
22 784 595.64516129 828.451612903 0.84029714932 False
22 785 672.161290323 820.451612903 0.799600323068 False
22 815 607.64516129 854.709677419 0.969225290602 False
22 816 688.161290323 853.709677419 0.871822200936 False
23 815 607.64516129 854.709677419 0.817936667323 False
23 847 697.161290323 897.967741935 0.819590784388 False
23 877 592.64516129 911.225806452 0.928758262351 False
